codevalue,valuelabel
30.1401,Museology/Museum Studies
30.1501,"Science, Technology and Society"
30.1601,Accounting and Computer Science
30.1701,Behavioral Sciences
30.1801,Natural Sciences
30.1901,Nutrition Sciences
30.2001,International/Global Studies
30.2101,Holocaust and Related Studies
30.2201,Ancient Studies/Civilization
30.2202,"Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"
30.2301,Intercultural/Multicultural and Diversity Studies
30.2501,Cognitive Science
30.2601,Cultural Studies/Critical Theory and Analysis
30.2701,Human Biology
30.2801,Dispute Resolution
30.2901,Maritime Studies
30.3001,Computational Science
30.3101,Human Computer Interaction
30.3201,Marine Sciences
30.3301,Sustainability Studies
30.9999,"Multi-/Interdisciplinary Studies, Other"
31.0101,"Parks, Recreation and Leisure Studies"
31.0301,"Parks, Recreation and Leisure Facilities Management, General"
31.0302,Golf Course Operation and Grounds Management
31.0399,"Parks, Recreation and Leisure Facilities Management, Other"
31.0501,"Health and Physical Education/Fitness, General"
31.0504,Sport and Fitness Administration/Management
31.0505,Kinesiology and Exercise Science
31.0507,Physical Fitness Technician
31.0508,Sports Studies
31.0599,"Health and Physical Education/Fitness, Other"
31.0601,Outdoor Education
31.9999,"Parks, Recreation, Leisure, and Fitness Studies, Other"
38.0001,"Philosophy and Religious Studies, General"
38.0101,Philosophy
38.0102,Logic
38.0103,Ethics
38.0104,Applied and Professional Ethics
38.0199,"Philosophy, Other"
38.0201,Religion/Religious Studies
38.0202,Buddhist Studies
38.0203,Christian Studies
38.0204,Hindu Studies
38.0205,Islamic Studies
38.0206,Jewish/Judaic Studies
38.0299,"Religion/Religious Studies, Other"
38.9999,"Philosophy and Religious Studies, Other"
39.0201,Bible/Biblical Studies
39.0301,Missions/Missionary Studies and Missiology
39.0401,Religious Education
39.0501,Religious/Sacred Music
39.0601,Theology/Theological Studies
39.0602,Divinity/Ministry
39.0604,Pre-Theology/Pre-Ministerial Studies
39.0605,Rabbinical Studies
39.0606,Talmudic Studies
39.0699,"Theological and Ministerial Studies, Other"
39.0701,Pastoral Studies/Counseling
39.0702,Youth Ministry
39.0703,Urban Ministry
39.0704,Women's Ministry
39.0705,Lay Ministry
39.0799,"Pastoral Counseling and Specialized Ministries, Other"
39.9999,"Theology and Religious Vocations, Other"
40.0101,Physical Sciences
40.0201,Astronomy
40.0202,Astrophysics
40.0203,Planetary Astronomy and Science
40.0299,"Astronomy and Astrophysics, Other"
40.0401,"Atmospheric Sciences and Meteorology, General"
40.0402,Atmospheric Chemistry and Climatology
40.0403,Atmospheric Physics and Dynamics
40.0404,Meteorology
40.0499,"Atmospheric Sciences and Meteorology, Other"
40.0501,"Chemistry, General"
40.0502,Analytical Chemistry
40.0503,Inorganic Chemistry
40.0504,Organic Chemistry
40.0506,Physical Chemistry
40.0507,Polymer Chemistry
40.0508,Chemical Physics
40.0509,Environmental Chemistry
40.051,Forensic Chemistry
40.0511,Theoretical Chemistry
40.0599,"Chemistry, Other"
40.0601,"Geology/Earth Science, General"
40.0602,Geochemistry
40.0603,Geophysics and Seismology
40.0604,Paleontology
40.0605,Hydrology and Water Resources Science
40.0607,"Oceanography, Chemical and Physical"
40.0699,"Geological and Earth Sciences/Geosciences, Other"
40.0801,"Physics, General"
40.0802,Atomic/Molecular Physics
40.0804,Elementary Particle Physics
40.0806,Nuclear Physics
40.0807,Optics/Optical Sciences
40.0808,Condensed Matter and Materials Physics
40.0809,Acoustics
40.081,Theoretical and Mathematical Physics
40.0899,"Physics, Other"
40.1001,Materials Science
40.1002,Materials Chemistry
40.9999,"Physical Sciences, Other"
40.1099,"Materials Sciences, Other"
41,"Science Technologies/Technicians, General"
41.0101,Biology Technician/Biotechnology Laboratory Technician
41.0204,Industrial Radiologic Technology/Technician
41.0205,Nuclear/Nuclear Power Technology/Technician
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other"
41.0301,Chemical Technology/Technician
41.0303,Chemical Process Technology
41.0399,"Physical Science Technologies/Technicians, Other"
41.9999,"Science Technologies/Technicians, Other"
42.0101,"Psychology, General"
42.2701,Cognitive Psychology and Psycholinguistics
42.2702,Comparative Psychology
42.2703,Developmental and Child Psychology
42.2704,Experimental Psychology
42.2705,Personality Psychology
42.2706,Physiological Psychology/Psychobiology
42.2707,Social Psychology
42.2708,Psychometrics and Quantitative Psychology
42.2709,Psychopharmacology
42.2799,"Research and Experimental Psychology, Other"
42.2801,Clinical Psychology
42.2802,Community Psychology
42.2803,Counseling Psychology
42.2804,Industrial and Organizational Psychology
42.2805,School Psychology
42.2806,Educational Psychology
42.2807,Clinical Child Psychology
42.2808,Environmental Psychology
42.2809,Geropsychology
42.281,Health/Medical Psychology
42.2811,Family Psychology
42.2812,Forensic Psychology
42.2813,Applied Psychology
42.2814,Applied Behavior Analysis
42.2899,"Clinical, Counseling and Applied Psychology, Other"
42.9999,"Psychology, Other"
43.0102,Corrections
43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice/Safety Studies
43.0106,Forensic Science and Technology
43.0107,Criminal Justice/Police Science
43.0109,Security and Loss Prevention Services
43.011,Juvenile Corrections
43.0111,Criminalistics and Criminal Science
43.0112,Securities Services Administration/Management
43.0113,Corrections Administration
43.0114,Law Enforcement Investigation and Interviewing
43.0116,Cyber/Computer Forensics and Counterterrorism
43.0117,Financial Forensics and Fraud Investigation
43.0118,Law Enforcement Intelligence Analysis
43.0119,Critical Incident Response/Special Police Operations
43.012,Protective Services Operations
43.0199,"Corrections and Criminal Justice, Other"
43.0201,Fire Prevention and Safety Technology/Technician
43.0202,Fire Services Administration
43.0203,Fire Science/Fire-fighting
43.0204,Fire Systems Technology
43.0205,Fire/Arson Investigation and Prevention
43.0206,Wildland/Forest Firefighting and Investigation
43.0299,"Fire Protection, Other"
43.0301,Homeland Security
43.0302,Crisis/Emergency/Disaster Management
43.0303,Critical Infrastructure Protection
43.0304,Terrorism and Counterterrorism Operations
43.0399,"Homeland Security, Other"
43.9999,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other"
44,"Human Services, General"
44.0201,Community Organization and Advocacy
44.0401,Public Administration
44.0501,"Public Policy Analysis, General"
44.0502,Education Policy Analysis
44.0503,Health Policy Analysis
44.0504,International Policy Analysis
44.0599,"Public Policy Analysis, Other"
44.0701,Social Work
44.0702,Youth Services/Administration
44.0799,"Social Work, Other"
44.9999,"Public Administration and Social Service Professions, Other"
45.0101,"Social Sciences, General"
45.0102,Research Methodology and Quantitative Methods
45.0201,Anthropology
45.0202,Physical and Biological Anthropology
45.0203,Medical Anthropology
45.0204,Cultural Anthropology
45.0299,"Anthropology, Other"
45.0301,Archeology
45.0401,Criminology
45.0501,Demography and Population Studies
45.0601,"Economics, General"
45.0602,Applied Economics
45.0603,Econometrics and Quantitative Economics
45.0604,Development Economics and International Development
45.0605,International Economics
45.0699,"Economics, Other"
45.0701,Geography
45.0702,Geographic Information Science and Cartography
45.0799,"Geography, Other"
45.0901,International Relations and Affairs
45.0902,National Security Policy Studies
45.0999,"International Relations and National Security Studies, Other"
45.1001,"Political Science and Government, General"
45.1002,American Government and Politics (United States
45.1004,Political Economy
45.1099,"Political Science and Government, Other"
45.1101,Sociology
45.1201,Urban Studies/Affairs
45.1301,Sociology and Anthropology
45.1401,Rural Sociology
45.9999,"Social Sciences, Other"
46,"Construction Trades, General"
46.0101,Mason/Masonry
46.0201,Carpentry/Carpenter
46.0301,"Electrical and Power Transmission Installation/Installer, General"
46.0302,Electrician
46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installers, Other"
46.0401,Building/Property Maintenance
46.0402,Concrete Finishing/Concrete Finisher
46.0403,Building/Home/Construction Inspection/Inspector
46.0404,Drywall Installation/Drywaller
46.0406,Glazier
46.0408,Painting/Painter and Wall Coverer
46.041,Roofer
46.0411,Metal Building Assembly/Assembler
46.0412,Building/Construction Site Management/Manager
46.0413,"Carpet, Floor, and Tile Worker"
46.0414,Insulator
46.0415,Building Construction Technology
46.0499,"Building/Construction Finishing, Management, and Inspection, Other"
46.0502,Pipefitting/Pipefitter and Sprinkler Fitter
46.0503,Plumbing Technology/Plumber
46.0504,Well Drilling/Driller
46.0505,Blasting/Blaster
46.0599,"Plumbing and Related Water Supply Services, Other"
46.9999,"Construction Trades, Other"
47,"Mechanics and Repairers, General"
47.0101,"Electrical/Electronics Equipment Installation and Repair, General"
47.0102,Business Machine Repair
47.0103,Communications Systems Installation and Repair Technology
47.0104,Computer Installation and Repair Technology/Technician
47.0105,Industrial Electronics Technology/Technician
47.0106,Appliance Installation and Repair Technology/Technician
47.011,"Security System Installation, Repair, and Inspection Technology/Technician"
47.0199,"Electrical/Electronics Maintenance and Repair Technology, Other"
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/"
47.0302,Heavy Equipment Maintenance Technology/Technician
47.0303,Industrial Mechanics and Maintenance Technology
47.0399,"Heavy/Industrial Equipment Maintenance Technologies, Other"
47.0402,Gunsmithing/Gunsmith
47.0403,Locksmithing and Safe Repair
47.0404,Musical Instrument Fabrication and Repair
47.0408,Watchmaking and Jewelrymaking
47.0409,Parts and Warehousing Operations and Maintenance Technology/Technician
47.0499,"Precision Systems Maintenance and Repair Technologies, Other"
47.06,"Vehicle Maintenance and Repair Technologies, General"
47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0606,Small Engine Mechanics and Repair Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0608,Aircraft Powerplant Technology/Technician
47.0609,Avionics Maintenance Technology/Technician
47.0611,Motorcycle Maintenance and Repair Technology/Technician
47.0612,Vehicle Emissions Inspection and Maintenance Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0614,Alternative Fuel Vehicle Technology/Technician
47.0615,Engine Machinist
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
47.0617,High Performance and Custom Engine Technician/Mechanic
47.0699,"Vehicle Maintenance and Repair Technologies, Other"
47.9999,"Mechanic and Repair Technologies/Technicians, Other"
48,"Precision Production Trades, General"
48.0303,Upholstery/Upholsterer
48.0501,Machine Tool Technology/Machinist
48.0503,Machine Shop Technology/Assistant
48.0506,Sheet Metal Technology/Sheetworking
48.0507,Tool and Die Technology/Technician
48.0508,Welding Technology/Welder
48.0509,Ironworking/Ironworker
48.051,Computer Numerically Controlled (CNC
48.0511,Metal Fabricator
48.0599,"Precision Metal Working, Other"
48.0701,"Woodworking, General"
48.0702,Furniture Design and Manufacturing
48.0703,Cabinetmaking and Millwork
48.0799,"Woodworking, Other"
48.0801,Boilermaking/Boilermaker
48.9999,"Precision Production, Other"
49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General"
49.0102,Airline/Commercial/Professional Pilot and Flight Crew
49.0104,Aviation/Airway Management and Operations
49.0105,Air Traffic Controller
49.0106,Airline Flight Attendant
49.0108,Flight Instructor
49.0199,"Air Transportation, Other"
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
49.0207,Flagging and Traffic Control
49.0208,Railroad and Railway Transportation
49.0299,"Ground Transportation, Other"
49.0304,"Diver, Professional and Instructor"
49.0309,Marine Science/Merchant Marine Officer
49.0399,"Marine Transportation, Other"
49.9999,"Transportation and Materials Moving, Other"
50.0101,"Visual and Performing Arts, General"
50.0102,Digital Arts
50.0201,"Crafts/Craft Design, Folk Art and Artisanry"
50.0301,"Dance, General"
50.0302,Ballet
50.0399,"Dance, Other"
50.0401,"Design and Visual Communications, General"
50.0402,Commercial and Advertising Art
50.0404,Industrial and Product Design
50.0406,Commercial Photography
